Mumbai,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
Kolkata,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
