Mumbai,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,decreasing,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
Chennai,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,decreasing,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
Kolkata,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
Delhi,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk,Almost constant,Low Risk
